Overall,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Total income,7865308.67,12034434.49,,,,,,,,,,
Cost of goods sold,2645359.98,6233431.52,,,,,,,,,,
Expense,5220432,4698955.95,,,,,,,,,,
Net profit & loss,-483.31,1102047.02,,,,,,,,,,
Accumulated profit,-483.31,"1,101,563.71",,,,,,,,,,
,,,,,,,,,,,,
Expense Breakdown,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Overtime - Employees,59534.58,59691.84,,,,,,,,,,
Telephone Expenses,24509.5,26888.48,,,,,,,,,,
Electricity Expenses,18438.75,24448.88,,,,,,,,,,
Water Supplies,489.22,381.08,,,,,,,,,,
Stationary Expenses,735.08,5290.83,,,,,,,,,,
Seminar & Training,90000,8100,,,,,,,,,,
Domain & Hosting Expense,68052.08,62605.57,,,,,,,,,,
Copy expenses,4108.6,3839,,,,,,,,,,
Entertain,108734.14,114873.69,,,,,,,,,,
Fuel Expenses,47832.51,47245.78,,,,,,,,,,
Travel & Transportation-Local,44799.62,41412.46,,,,,,,,,,
Loss on Exchange Rate,150582.23,155145.99,,,,,,,,,,
,,,,,,,,,,,,
Late report,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Times,24,31,,,,,,,,,,
Hours,0.46,1.57,,,,,,,,,,
